,GAME_ID,PLAYER_NAME,PTS_home_DirkNowitzki,FG_PCT_home_DirkNowitzki,FT_PCT_home_DirkNowitzki,FG3_PCT_home_DirkNowitzki,AST_home_DirkNowitzki,REB_home_DirkNowitzki,PTS_away_DirkNowitzki,FG_PCT_away_DirkNowitzki,FT_PCT_away_DirkNowitzki,FG3_PCT_away_DirkNowitzki,AST_away_DirkNowitzki,REB_away_DirkNowitzki,MIN_DirkNowitzki,FGM_DirkNowitzki,FGA_DirkNowitzki,FG_PCT_DirkNowitzki,FG3M_DirkNowitzki,FG3A_DirkNowitzki,FG3_PCT_DirkNowitzki,FTM_DirkNowitzki,FTA_DirkNowitzki,FT_PCT_DirkNowitzki,OREB_DirkNowitzki,DREB_DirkNowitzki,REB_DirkNowitzki,AST_DirkNowitzki,STL_DirkNowitzki,BLK_DirkNowitzki,TO_DirkNowitzki,PF_DirkNowitzki,PLUS_MINUS_DirkNowitzki,PTS_DirkNowitzki
5136,21600541,Dirk Nowitzki,0.37894736842105264,0.47607655502392343,0.7579092159559836,0.36817102137767216,0.2564102564102564,0.2641509433962264,0.4946236559139785,0.48905109489051096,0.8413068844807469,0.5261813537675607,0.2619047619047619,0.5409836065573771,0.4607734806629834,0.20833333333333334,0.28,0.357,0.21428571428571427,0.2916666666666667,0.429,0.0,0.0,0.0,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.125,0.0,0.1,0.08333333333333333,0.8333333333333334,0.3333333333333333,0.20967741935483872
5137,21600524,Dirk Nowitzki,0.5684210526315789,0.5191387559808611,0.8858321870701513,0.6306413301662708,0.3076923076923077,0.4716981132075472,0.5268817204301075,0.48661800486618007,0.8331388564760793,0.46871008939974473,0.5476190476190477,0.29508196721311475,0.3994475138121547,0.16666666666666666,0.18,0.444,0.07142857142857142,0.16666666666666666,0.25,0.08,0.05128205128205128,1.0,0.0,0.391304347826087,0.2903225806451613,0.0,0.0,0.0,0.0,0.3333333333333333,0.5444444444444444,0.1774193548387097
5138,21600501,Dirk Nowitzki,0.5157894736842106,0.5813397129186603,0.8170563961485557,0.39548693586698325,0.5897435897435898,0.49056603773584906,0.46236559139784944,0.42092457420924567,0.8448074679113186,0.31928480204342274,0.42857142857142855,0.32786885245901637,0.3883977900552486,0.125,0.24,0.25,0.0,0.125,0.0,0.2,0.1282051282051282,1.0,0.0,0.21739130434782608,0.16129032258064516,0.041666666666666664,0.0,0.1,0.25,0.3333333333333333,0.28888888888888886,0.1774193548387097
5139,21600474,Dirk Nowitzki,0.5052631578947369,0.3755980861244018,0.7248968363136177,0.46912114014251777,0.358974358974359,0.39622641509433965,0.7204301075268817,0.6812652068126521,0.8331388564760793,0.67816091954023,0.4523809523809524,0.4426229508196721,0.24751381215469612,0.08333333333333333,0.16,0.25,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.0,0.0,0.0,0.08333333333333333,0.0,0.23333333333333334,0.11290322580645161
5140,21600466,Dirk Nowitzki,0.5473684210526316,0.6507177033492823,0.7702888583218707,0.5700712589073633,0.41025641025641024,0.4528301886792453,0.5161290322580645,0.6009732360097323,0.73512252042007,0.5185185185185186,0.5476190476190477,0.19672131147540983,0.2814917127071823,0.16666666666666666,0.18,0.444,0.14285714285714285,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.08695652173913043,0.06451612903225806,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.4222222222222222,0.16129032258064516
5141,21600455,Dirk Nowitzki,0.30526315789473685,0.48325358851674616,0.49931224209078406,0.532066508313539,0.23076923076923078,0.4528301886792453,0.3655913978494624,0.4355231143552311,0.5332555425904317,0.30779054916985954,0.40476190476190477,0.36065573770491804,0.24281767955801103,0.2916666666666667,0.24,0.583,0.14285714285714285,0.125,0.667,0.04,0.02564102564102564,1.0,0.16666666666666666,0.08695652173913043,0.12903225806451613,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.5555555555555556,0.27419354838709675
5142,21600227,Dirk Nowitzki,0.7263157894736842,0.5956937799043062,0.8858321870701513,0.5522565320665083,0.5641025641025641,0.5660377358490566,0.3655913978494624,0.39172749391727485,0.6114352392065344,0.2924648786717751,0.5952380952380952,0.3114754098360656,0.45055248618784527,0.2916666666666667,0.36,0.389,0.07142857142857142,0.20833333333333334,0.2,0.0,0.0,0.0,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.125,0.0,0.0,0.08333333333333333,0.5,0.17777777777777778,0.24193548387096775
5143,21600220,Dirk Nowitzki,0.47368421052631576,0.4665071770334928,0.9229711141678129,0.5439429928741091,0.38461538461538464,0.5094339622641509,0.7311827956989247,0.6326034063260341,0.6989498249708285,0.598978288633461,0.5238095238095238,0.3770491803278688,0.33176795580110496,0.125,0.2,0.3,0.07142857142857142,0.125,0.3329999999999999,0.12,0.07692307692307693,1.0,0.0,0.2608695652173913,0.1935483870967742,0.041666666666666664,0.0,0.0,0.08333333333333333,0.3333333333333333,0.26666666666666666,0.16129032258064516
5144,21600076,Dirk Nowitzki,0.37894736842105264,0.3660287081339712,0.7936726272352131,0.42399049881235146,0.2564102564102564,0.5094339622641509,0.5268817204301075,0.49635036496350365,0.7759626604434071,0.49425287356321845,0.40476190476190477,0.36065573770491804,0.26712707182320444,0.08333333333333333,0.12,0.3329999999999999,0.0,0.0,0.0,0.04,0.02564102564102564,1.0,0.0,0.30434782608695654,0.22580645161290322,0.041666666666666664,0.0,0.1,0.0,0.0,0.4,0.08064516129032258
5145,21600062,Dirk Nowitzki,0.4,0.47368421052631576,0.4181568088033013,0.5700712589073633,0.2564102564102564,0.4528301886792453,0.26881720430107525,0.4452554744525547,0.7666277712952159,0.3435504469987228,0.3333333333333333,0.26229508196721313,0.47734806629834253,0.16666666666666666,0.28,0.286,0.0,0.20833333333333334,0.0,0.04,0.02564102564102564,1.0,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.0,0.1,0.0,0.08333333333333333,0.5,0.25555555555555554,0.14516129032258066
