,GAME_ID,PLAYER_NAME,PTS_home_LeBronJames,FG_PCT_home_LeBronJames,FT_PCT_home_LeBronJames,FG3_PCT_home_LeBronJames,AST_home_LeBronJames,REB_home_LeBronJames,PTS_away_LeBronJames,FG_PCT_away_LeBronJames,FT_PCT_away_LeBronJames,FG3_PCT_away_LeBronJames,AST_away_LeBronJames,REB_away_LeBronJames,MIN_LeBronJames,FGM_LeBronJames,FGA_LeBronJames,FG_PCT_LeBronJames,FG3M_LeBronJames,FG3A_LeBronJames,FG3_PCT_LeBronJames,FTM_LeBronJames,FTA_LeBronJames,FT_PCT_LeBronJames,OREB_LeBronJames,DREB_LeBronJames,REB_LeBronJames,AST_LeBronJames,STL_LeBronJames,BLK_LeBronJames,TO_LeBronJames,PF_LeBronJames,PLUS_MINUS_LeBronJames,PTS_LeBronJames
734,21500384,LeBron James,0.47368421052631576,0.5,0.6822558459422283,0.49168646080760087,0.5384615384615384,0.4716981132075472,0.4731182795698925,0.5523114355231142,0.8331388564760793,0.3831417624521073,0.4523809523809524,0.26229508196721313,0.6566298342541437,0.5,0.54,0.444,0.14285714285714285,0.20833333333333334,0.4,0.28,0.20512820512820512,0.875,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.4583333333333333,0.2,0.0,0.5833333333333334,0.3333333333333333,0.5333333333333333,0.532258064516129
735,21500367,LeBron James,0.18947368421052632,0.1555023923444976,0.8033012379642366,0.333729216152019,0.2564102564102564,0.4528301886792453,0.3548387096774194,0.5255474452554745,0.8833138856476079,0.4444444444444445,0.30952380952380953,0.4262295081967213,0.5917127071823205,0.4166666666666667,0.4,0.5,0.0,0.125,0.0,0.16,0.10256410256410256,1.0,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.125,0.2,0.1,0.5,0.5,0.6666666666666666,0.3870967741935484
736,21500334,LeBron James,0.17894736842105263,0.3157894736842105,0.5873452544704263,0.3242280285035629,0.20512820512820512,0.24528301886792453,0.5913978494623656,0.7858880778588806,0.6114352392065344,0.6692209450830141,0.5714285714285714,0.4098360655737705,0.48756906077348067,0.4166666666666667,0.3,0.667,0.0,0.041666666666666664,0.0,0.2,0.20512820512820512,0.625,0.0,0.13043478260869565,0.0967741935483871,0.3333333333333333,0.4,0.0,0.3333333333333333,0.0,0.8777777777777778,0.4032258064516129
737,21500313,LeBron James,0.4842105263157895,0.5956937799043062,0.7248968363136177,0.509501187648456,0.2564102564102564,0.24528301886792453,0.4731182795698925,0.6326034063260341,0.4900816802800466,0.5402298850574713,0.40476190476190477,0.26229508196721313,0.6685082872928176,0.5833333333333334,0.48,0.583,0.07142857142857142,0.125,0.3329999999999999,0.16,0.10256410256410256,1.0,0.08333333333333333,0.391304347826087,0.3225806451612903,0.125,0.2,0.3,0.16666666666666666,0.5,0.5555555555555556,0.532258064516129
738,21500288,LeBron James,0.5789473684210527,0.5669856459330143,0.5557083906464925,0.4275534441805225,0.4358974358974359,0.5471698113207547,0.5591397849462365,0.46715328467153255,0.8051341890315052,0.3869731800766284,0.3333333333333333,0.3770491803278688,0.7422651933701657,0.5416666666666666,0.58,0.4479999999999999,0.07142857142857142,0.20833333333333334,0.2,0.4,0.28205128205128205,0.909,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.3333333333333333,0.1,0.1,0.4166666666666667,0.6666666666666666,0.43333333333333335,0.5967741935483871
739,21500262,LeBron James,0.2736842105263158,0.19138755980861247,0.8211829436038515,0.3562945368171021,0.1794871794871795,0.5660377358490566,0.44086021505376344,0.5450121654501215,0.7082847141190198,0.31928480204342274,0.4523809523809524,0.3114754098360656,0.6196132596685082,0.3333333333333333,0.4,0.4,0.0,0.125,0.0,0.32,0.20512820512820512,1.0,0.3333333333333333,0.391304347826087,0.41935483870967744,0.16666666666666666,0.1,0.1,0.75,0.5,0.34444444444444444,0.3870967741935484
740,21500240,LeBron James,0.3263157894736842,0.3468899521531101,0.5144429160935351,0.39548693586698325,0.3076923076923077,0.6037735849056604,0.34408602150537637,0.39172749391727485,0.7082847141190198,0.3001277139208174,0.40476190476190477,0.4262295081967213,0.5919889502762431,0.4166666666666667,0.44,0.455,0.07142857142857142,0.25,0.1669999999999999,0.2,0.15384615384615385,0.833,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.20833333333333334,0.1,0.0,0.16666666666666666,0.0,0.4666666666666667,0.41935483870967744
741,21500227,LeBron James,0.3263157894736842,0.37320574162679415,0.6698762035763411,0.2375296912114014,0.3076923076923077,0.39622641509433965,0.41935483870967744,0.42335766423357657,0.7199533255542591,0.4086845466155811,0.30952380952380953,0.4918032786885246,0.6334254143646408,0.3333333333333333,0.4,0.4,0.14285714285714285,0.20833333333333334,0.4,0.28,0.23076923076923078,0.778,0.16666666666666666,0.4782608695652174,0.41935483870967744,0.20833333333333334,0.0,0.0,0.25,0.3333333333333333,0.4888888888888889,0.4032258064516129
742,21500219,LeBron James,0.4631578947368421,0.5956937799043062,0.3741403026134801,0.5225653206650831,0.15384615384615385,0.4339622641509434,0.46236559139784944,0.46958637469586373,0.7817969661610268,0.6168582375478928,0.42857142857142855,0.36065573770491804,0.6591160220994474,0.25,0.32,0.375,0.07142857142857142,0.20833333333333334,0.2,0.44,0.3076923076923077,0.917,0.16666666666666666,0.17391304347826086,0.1935483870967742,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6222222222222222,0.3870967741935484
743,21500203,LeBron James,0.6105263157894737,0.6555023923444976,0.43741403026134795,0.6104513064133016,0.6666666666666666,0.4528301886792453,0.5053763440860215,0.6034063260340632,0.5554259043173863,0.5810983397190295,0.5,0.3114754098360656,0.5795580110497238,0.2916666666666667,0.28,0.5,0.0,0.08333333333333333,0.0,0.04,0.1282051282051282,0.2,0.0,0.2608695652173913,0.1935483870967742,0.5416666666666666,0.1,0.0,0.16666666666666666,0.0,0.8,0.24193548387096775
