,GAME_ID,PLAYER_NAME,PTS_home_AndreIguodala,FG_PCT_home_AndreIguodala,FT_PCT_home_AndreIguodala,FG3_PCT_home_AndreIguodala,AST_home_AndreIguodala,REB_home_AndreIguodala,PTS_away_AndreIguodala,FG_PCT_away_AndreIguodala,FT_PCT_away_AndreIguodala,FG3_PCT_away_AndreIguodala,AST_away_AndreIguodala,REB_away_AndreIguodala,MIN_AndreIguodala,FGM_AndreIguodala,FGA_AndreIguodala,FG_PCT_AndreIguodala,FG3M_AndreIguodala,FG3A_AndreIguodala,FG3_PCT_AndreIguodala,FTM_AndreIguodala,FTA_AndreIguodala,FT_PCT_AndreIguodala,OREB_AndreIguodala,DREB_AndreIguodala,REB_AndreIguodala,AST_AndreIguodala,STL_AndreIguodala,BLK_AndreIguodala,TO_AndreIguodala,PF_AndreIguodala,PLUS_MINUS_AndreIguodala,PTS_AndreIguodala
17703,21700163,Andre Iguodala,0.6947368421052632,0.7368421052631576,0.6946354883081156,0.4952494061757719,0.7435897435897436,0.5283018867924528,0.4838709677419355,0.4063260340632603,0.6977829638273045,0.2656449553001277,0.40476190476190477,0.3442622950819672,0.33977900552486184,0.16666666666666666,0.1,0.8,0.07142857142857142,0.08333333333333333,0.5,0.08,0.07692307692307693,0.667,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.041666666666666664,0.0,0.1,0.0,0.3333333333333333,0.5111111111111111,0.1774193548387097
17704,21700148,Andre Iguodala,0.4,0.2655502392344497,0.8858321870701513,0.40855106888361037,0.3076923076923077,0.6415094339622641,0.25806451612903225,0.27980535279805346,0.6569428238039673,0.39335887611749687,0.35714285714285715,0.39344262295081966,0.4538674033149171,0.08333333333333333,0.06,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08695652173913043,0.12903225806451613,0.125,0.1,0.0,0.08333333333333333,0.16666666666666666,0.6222222222222222,0.06451612903225806
17705,21700135,Andre Iguodala,0.5157894736842106,0.48564593301435405,0.7455295735900962,0.29691211401425177,0.46153846153846156,0.5471698113207547,0.7634408602150538,0.7372262773722625,0.4504084014002334,0.574712643678161,0.8095238095238095,0.3442622950819672,0.3320441988950276,0.08333333333333333,0.12,0.3329999999999999,0.0,0.125,0.0,0.0,0.02564102564102564,0.0,0.25,0.13043478260869565,0.1935483870967742,0.0,0.2,0.0,0.0,0.16666666666666666,0.4111111111111111,0.06451612903225806
17706,21700117,Andre Iguodala,0.3473684210526316,0.32057416267942584,0.6409903713892711,0.346793349168646,0.28205128205128205,0.5471698113207547,0.6021505376344086,0.6618004866180048,0.7082847141190198,0.6385696040868455,0.6190476190476191,0.3442622950819672,0.3925414364640884,0.041666666666666664,0.12,0.1669999999999999,0.07142857142857142,0.16666666666666666,0.25,0.08,0.10256410256410256,0.5,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.125,0.2,0.1,0.08333333333333333,0.0,0.6111111111111112,0.08064516129032258
17707,21700100,Andre Iguodala,0.5684210526315789,0.4688995215311002,0.7702888583218707,0.4750593824228028,0.3333333333333333,0.33962264150943394,0.9139784946236559,0.8223844282238442,0.7281213535589265,0.6168582375478928,0.7857142857142857,0.4262295081967213,0.38011049723756907,0.041666666666666664,0.04,0.5,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.20833333333333334,0.0,0.0,0.0,0.0,0.7333333333333333,0.08064516129032258
17708,21700091,Andre Iguodala,0.5052631578947369,0.7511961722488039,0.656121045392022,0.4394299287410926,0.5384615384615384,0.4339622641509434,0.6344086021505376,0.5255474452554745,1.0,0.5670498084291189,0.42857142857142855,0.2786885245901639,0.419060773480663,0.08333333333333333,0.08,0.5,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.16666666666666666,0.18888888888888888,0.06451612903225806
17709,21700075,Andre Iguodala,0.6421052631578947,0.5430622009569377,0.8624484181568088,0.31235154394299286,0.6410256410256411,0.6792452830188679,0.6559139784946236,0.47931873479318704,0.6814469078179697,0.5810983397190295,0.6190476190476191,0.3442622950819672,0.5151933701657458,0.125,0.1,0.6,0.0,0.08333333333333333,0.0,0.04,0.05128205128205128,0.5,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.16666666666666666,0.0,0.0,0.0,0.0,0.5777777777777777,0.11290322580645161
17710,21700063,Andre Iguodala,0.6105263157894737,0.7200956937799041,0.8129298486932601,0.5486935866983372,0.6153846153846154,0.37735849056603776,0.6021505376344086,0.51338199513382,0.9381563593932322,0.3001277139208174,0.6190476190476191,0.36065573770491804,0.5019337016574585,0.0,0.02,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.06451612903225806,0.20833333333333334,0.1,0.1,0.0,0.16666666666666666,0.43333333333333335,0.0
17711,21700045,Andre Iguodala,0.4631578947368421,0.33253588516746413,0.4497936726272352,0.36817102137767216,0.3333333333333333,0.4716981132075472,0.8279569892473119,0.7591240875912407,0.8203033838973162,0.4916985951468711,0.6904761904761905,0.4918032786885246,0.40524861878453033,0.16666666666666666,0.14,0.5710000000000001,0.07142857142857142,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.21739130434782608,0.16129032258064516,0.125,0.0,0.0,0.08333333333333333,0.3333333333333333,0.5222222222222223,0.14516129032258066
17712,21700033,Andre Iguodala,0.5473684210526316,0.504784688995215,0.7028885832187071,0.4394299287410926,0.3076923076923077,0.4339622641509434,0.4838709677419355,0.35766423357664207,0.8273045507584598,0.4035759897828864,0.38095238095238093,0.4262295081967213,0.47596685082872925,0.0,0.1,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.06451612903225806,0.08333333333333333,0.2,0.1,0.0,0.5,0.43333333333333335,0.0
