,GAME_ID,PLAYER_NAME,PTS_home_KlayThompson,FG_PCT_home_KlayThompson,FT_PCT_home_KlayThompson,FG3_PCT_home_KlayThompson,AST_home_KlayThompson,REB_home_KlayThompson,PTS_away_KlayThompson,FG_PCT_away_KlayThompson,FT_PCT_away_KlayThompson,FG3_PCT_away_KlayThompson,AST_away_KlayThompson,REB_away_KlayThompson,MIN_KlayThompson,FGM_KlayThompson,FGA_KlayThompson,FG_PCT_KlayThompson,FG3M_KlayThompson,FG3A_KlayThompson,FG3_PCT_KlayThompson,FTM_KlayThompson,FTA_KlayThompson,FT_PCT_KlayThompson,OREB_KlayThompson,DREB_KlayThompson,REB_KlayThompson,AST_KlayThompson,STL_KlayThompson,BLK_KlayThompson,TO_KlayThompson,PF_KlayThompson,PLUS_MINUS_KlayThompson,PTS_KlayThompson
11969,41400226,Klay Thompson,0.37894736842105264,0.27990430622009566,0.6795048143053645,0.29691211401425177,0.3333333333333333,0.49056603773584906,0.5591397849462365,0.6326034063260341,0.7502917152858809,0.598978288633461,0.5476190476190477,0.4426229508196721,0.6104972375690608,0.2916666666666667,0.26,0.5379999999999999,0.21428571428571427,0.20833333333333334,0.6,0.12,0.07692307692307693,1.0,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.125,0.0,0.0,0.25,0.3333333333333333,0.5111111111111111,0.3225806451612903
11970,41400225,Klay Thompson,0.4105263157894737,0.5071770334928228,0.7248968363136177,0.5546318289786223,0.5128205128205128,0.5094339622641509,0.23655913978494625,0.3698296836982966,0.7666277712952159,0.3409961685823755,0.40476190476190477,0.3770491803278688,0.6403314917127072,0.2916666666666667,0.32,0.4379999999999999,0.21428571428571427,0.16666666666666666,0.75,0.16,0.10256410256410256,1.0,0.0,0.17391304347826086,0.12903225806451613,0.20833333333333334,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5666666666666667,0.3387096774193548
11971,41400224,Klay Thompson,0.2631578947368421,0.2822966507177033,0.6946354883081156,0.26365795724465557,0.41025641025641024,0.6037735849056604,0.4838709677419355,0.557177615571776,0.6359393232205367,0.541507024265645,0.42857142857142855,0.4098360655737705,0.661878453038674,0.25,0.3,0.4,0.21428571428571427,0.25,0.5,0.0,0.0,0.0,0.0,0.08695652173913043,0.06451612903225806,0.08333333333333333,0.2,0.1,0.25,0.3333333333333333,0.6777777777777778,0.24193548387096775
11972,41400223,Klay Thompson,0.42105263157894735,0.46411483253588515,0.8211829436038515,0.3717339667458432,0.3333333333333333,0.5094339622641509,0.3548387096774194,0.45255474452554767,0.6254375729288215,0.29501915708812265,0.38095238095238093,0.3114754098360656,0.6085635359116022,0.3333333333333333,0.26,0.615,0.21428571428571427,0.25,0.5,0.04,0.10256410256410256,0.25,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.08333333333333333,0.1,0.2,0.25,0.8333333333333334,0.5333333333333333,0.3225806451612903
11973,41400222,Klay Thompson,0.3263157894736842,0.3875598086124401,0.7056396148555707,0.2743467933491686,0.20512820512820512,0.5283018867924528,0.44086021505376344,0.48661800486618007,0.8833138856476079,0.425287356321839,0.35714285714285715,0.3114754098360656,0.5660220994475138,0.25,0.3,0.4,0.07142857142857142,0.25,0.1669999999999999,0.0,0.0,0.0,0.0,0.17391304347826086,0.12903225806451613,0.08333333333333333,0.1,0.1,0.4166666666666667,0.5,0.3,0.20967741935483872
11974,41400221,Klay Thompson,0.4421052631578947,0.5956937799043062,0.5419532324621733,0.5510688836104511,0.46153846153846156,0.41509433962264153,0.3225806451612903,0.5012165450121655,0.73512252042007,0.31928480204342274,0.47619047619047616,0.2786885245901639,0.6223756906077348,0.3333333333333333,0.32,0.5,0.14285714285714285,0.20833333333333334,0.4,0.0,0.0,0.0,0.0,0.13043478260869565,0.0967741935483871,0.25,0.1,0.0,0.3333333333333333,0.16666666666666666,0.6555555555555556,0.2903225806451613
11975,41400144,Klay Thompson,0.4105263157894737,0.5382775119617224,0.9023383768913343,0.26959619952494046,0.38461538461538464,0.3584905660377358,0.5698924731182796,0.6326034063260341,0.6452742123687281,0.6922094508301406,0.5714285714285714,0.3114754098360656,0.5966850828729282,0.4166666666666667,0.38,0.526,0.2857142857142857,0.2916666666666667,0.5710000000000001,0.04,0.02564102564102564,1.0,0.0,0.13043478260869565,0.0967741935483871,0.0,0.1,0.1,0.0,0.0,0.6,0.4032258064516129
11976,41400143,Klay Thompson,0.631578947368421,0.6076555023923444,0.7359009628610728,0.339667458432304,0.4358974358974359,0.5660377358490566,0.7204301075268817,0.384428223844282,0.8051341890315052,0.4355044699872287,0.47619047619047616,0.5081967213114754,0.7621546961325967,0.375,0.42,0.429,0.42857142857142855,0.5,0.5,0.16,0.1282051282051282,0.8,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.08333333333333333,0.0,0.2,0.16666666666666666,0.5,0.6777777777777778,0.45161290322580644
11977,41400142,Klay Thompson,0.4,0.44258373205741625,0.4938101788170564,0.3562945368171021,0.48717948717948717,0.6037735849056604,0.3333333333333333,0.33333333333333304,0.7082847141190198,0.44699872286079184,0.40476190476190477,0.3442622950819672,0.5408839779005524,0.4583333333333333,0.34,0.647,0.21428571428571427,0.3333333333333333,0.375,0.04,0.02564102564102564,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.125,0.1,0.0,0.0,0.5,0.6444444444444445,0.41935483870967744
11978,41400141,Klay Thompson,0.49473684210526314,0.4784688995215311,0.4745529573590096,0.45011876484560565,0.41025641025641024,0.5660377358490566,0.46236559139784944,0.42822384428223836,0.7666277712952159,0.5223499361430396,0.47619047619047616,0.39344262295081966,0.6069060773480662,0.25,0.34,0.353,0.21428571428571427,0.25,0.5,0.24,0.23076923076923078,0.667,0.0,0.043478260869565216,0.03225806451612903,0.125,0.1,0.2,0.4166666666666667,0.5,0.4111111111111111,0.3387096774193548
