,GAME_ID,PLAYER_NAME,PTS_home_KawhiLeonard,FG_PCT_home_KawhiLeonard,FT_PCT_home_KawhiLeonard,FG3_PCT_home_KawhiLeonard,AST_home_KawhiLeonard,REB_home_KawhiLeonard,PTS_away_KawhiLeonard,FG_PCT_away_KawhiLeonard,FT_PCT_away_KawhiLeonard,FG3_PCT_away_KawhiLeonard,AST_away_KawhiLeonard,REB_away_KawhiLeonard,MIN_KawhiLeonard,FGM_KawhiLeonard,FGA_KawhiLeonard,FG_PCT_KawhiLeonard,FG3M_KawhiLeonard,FG3A_KawhiLeonard,FG3_PCT_KawhiLeonard,FTM_KawhiLeonard,FTA_KawhiLeonard,FT_PCT_KawhiLeonard,OREB_KawhiLeonard,DREB_KawhiLeonard,REB_KawhiLeonard,AST_KawhiLeonard,STL_KawhiLeonard,BLK_KawhiLeonard,TO_KawhiLeonard,PF_KawhiLeonard,PLUS_MINUS_KawhiLeonard,PTS_KawhiLeonard
2931,21500061,Kawhi Leonard,0.45263157894736844,0.5406698564593301,0.6066024759284733,0.4133016627078384,0.48717948717948717,0.3018867924528302,0.46236559139784944,0.51338199513382,0.8833138856476079,0.40613026819923376,0.40476190476190477,0.47540983606557374,0.5773480662983426,0.4166666666666667,0.44,0.455,0.07142857142857142,0.16666666666666666,0.25,0.08,0.05128205128205128,1.0,0.25,0.2608695652173913,0.2903225806451613,0.0,0.1,0.0,0.08333333333333333,0.6666666666666666,0.34444444444444444,0.3709677419354839
2932,21500048,Kawhi Leonard,0.2631578947368421,0.24641148325358844,0.672627235213205,0.36579572446555814,0.23076923076923078,0.6037735849056604,0.40860215053763443,0.6034063260340632,0.6569428238039673,0.39335887611749687,0.40476190476190477,0.4098360655737705,0.5980662983425414,0.3333333333333333,0.32,0.5,0.07142857142857142,0.16666666666666666,0.25,0.04,0.02564102564102564,1.0,0.16666666666666666,0.5217391304347826,0.45161290322580644,0.041666666666666664,0.2,0.4,0.16666666666666666,0.6666666666666666,0.6111111111111112,0.2903225806451613
2933,21500040,Kawhi Leonard,0.29473684210526313,0.23923444976076547,0.7056396148555707,0.24584323040380043,0.3333333333333333,0.5283018867924528,0.41935483870967744,0.4574209245742092,0.6732788798133021,0.3358876117496808,0.42857142857142855,0.5081967213114754,0.568232044198895,0.3333333333333333,0.36,0.444,0.07142857142857142,0.125,0.3329999999999999,0.08,0.05128205128205128,1.0,0.0,0.21739130434782608,0.16129032258064516,0.08333333333333333,0.2,0.1,0.16666666666666666,0.3333333333333333,0.5111111111111111,0.3064516129032258
2934,21500028,Kawhi Leonard,0.45263157894736844,0.49760765550239233,1.0,0.4857482185273158,0.38461538461538464,0.7358490566037735,0.20430107526881722,0.3819951338199511,0.45507584597432893,0.3997445721583653,0.30952380952380953,0.19672131147540983,0.42734806629834254,0.25,0.32,0.375,0.0,0.08333333333333333,0.0,0.16,0.10256410256410256,1.0,0.08333333333333333,0.391304347826087,0.3225806451612903,0.041666666666666664,0.2,0.1,0.3333333333333333,0.5,0.6555555555555556,0.25806451612903225
2935,21500013,Kawhi Leonard,0.5578947368421052,0.5526315789473684,0.9381017881705639,0.4370546318289786,0.3333333333333333,0.5283018867924528,0.5376344086021505,0.5790754257907542,0.8203033838973162,0.425287356321839,0.42857142857142855,0.26229508196721313,0.5853591160220994,0.5416666666666666,0.44,0.591,0.07142857142857142,0.125,0.3329999999999999,0.2,0.1282051282051282,1.0,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.0,0.3,0.2,0.25,0.5,0.5222222222222223,0.5161290322580645
2936,11500109,Kawhi Leonard,0.5473684210526316,0.6124401913875598,0.5735900962861072,0.5439429928741091,0.46153846153846156,0.5471698113207547,0.3225806451612903,0.34063260340632606,0.6499416569428238,0.39335887611749687,0.5,0.3442622950819672,0.33397790055248616,0.08333333333333333,0.14,0.286,0.07142857142857142,0.20833333333333334,0.2,0.08,0.05128205128205128,1.0,0.0,0.13043478260869565,0.0967741935483871,0.125,0.1,0.0,0.16666666666666666,0.16666666666666666,0.6333333333333333,0.11290322580645161
2937,11500090,Kawhi Leonard,0.2631578947368421,0.4377990430622009,0.6066024759284733,0.29691211401425177,0.358974358974359,0.3018867924528302,0.5161290322580645,0.6812652068126521,0.7502917152858809,0.6692209450830141,0.5714285714285714,0.3770491803278688,0.40773480662983425,0.20833333333333334,0.24,0.417,0.14285714285714285,0.125,0.667,0.08,0.05128205128205128,1.0,0.0,0.08695652173913043,0.06451612903225806,0.08333333333333333,0.0,0.0,0.5,0.3333333333333333,0.4444444444444444,0.22580645161290322
2938,11500076,Kawhi Leonard,0.3894736842105263,0.4808612440191385,0.874828060522696,0.5403800475059382,0.2564102564102564,0.5094339622641509,0.3870967741935484,0.35766423357664207,0.8331388564760793,0.4086845466155811,0.35714285714285715,0.2786885245901639,0.4712707182320442,0.2916666666666667,0.24,0.583,0.21428571428571427,0.20833333333333334,0.6,0.16,0.10256410256410256,1.0,0.0,0.13043478260869565,0.0967741935483871,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.6,0.3387096774193548
2939,11500060,Kawhi Leonard,0.43157894736842106,0.3660287081339712,0.8101788170563962,0.4216152019002375,0.41025641025641024,0.5849056603773585,0.3225806451612903,0.20194647201946447,0.7409568261376897,0.25542784163473825,0.30952380952380953,0.4918032786885246,0.37651933701657453,0.25,0.32,0.375,0.07142857142857142,0.125,0.3329999999999999,0.28,0.20512820512820512,0.875,0.25,0.21739130434782608,0.25806451612903225,0.08333333333333333,0.1,0.0,0.25,0.16666666666666666,0.4222222222222222,0.3225806451612903
2940,11500049,Kawhi Leonard,0.4,0.3038277511961722,0.8583218707015131,0.24703087885985744,0.23076923076923078,0.6037735849056604,0.40860215053763443,0.4330900243309002,0.7082847141190198,0.25542784163473825,0.35714285714285715,0.39344262295081966,0.387292817679558,0.20833333333333334,0.3,0.3329999999999999,0.14285714285714285,0.20833333333333334,0.4,0.08,0.05128205128205128,1.0,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.041666666666666664,0.1,0.1,0.0,0.3333333333333333,0.6666666666666666,0.22580645161290322
