,GAME_ID,PLAYER_NAME,PTS_home_DwightHoward,FG_PCT_home_DwightHoward,FT_PCT_home_DwightHoward,FG3_PCT_home_DwightHoward,AST_home_DwightHoward,REB_home_DwightHoward,PTS_away_DwightHoward,FG_PCT_away_DwightHoward,FT_PCT_away_DwightHoward,FG3_PCT_away_DwightHoward,AST_away_DwightHoward,REB_away_DwightHoward,MIN_DwightHoward,FGM_DwightHoward,FGA_DwightHoward,FG_PCT_DwightHoward,FG3M_DwightHoward,FG3A_DwightHoward,FG3_PCT_DwightHoward,FTM_DwightHoward,FTA_DwightHoward,FT_PCT_DwightHoward,OREB_DwightHoward,DREB_DwightHoward,REB_DwightHoward,AST_DwightHoward,STL_DwightHoward,BLK_DwightHoward,TO_DwightHoward,PF_DwightHoward,PLUS_MINUS_DwightHoward,PTS_DwightHoward
12548,21600026,Dwight Howard,0.1368421052631579,0.22248803827751187,0.6327372764786795,0.33016627078384797,0.20512820512820512,0.41509433962264153,0.5161290322580645,0.6034063260340632,0.5939323220536756,0.31928480204342274,0.6428571428571429,0.4426229508196721,0.31767955801104975,0.041666666666666664,0.08,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.17391304347826086,0.22580645161290322,0.041666666666666664,0.0,0.3,0.08333333333333333,0.6666666666666666,0.6444444444444445,0.03225806451612903
12549,21600014,Dwight Howard,0.5789473684210527,0.5813397129186603,0.6946354883081156,0.5486935866983372,0.5128205128205128,0.660377358490566,0.46236559139784944,0.437956204379562,0.67561260210035,0.3831417624521073,0.5,0.32786885245901637,0.4988950276243094,0.16666666666666666,0.18,0.444,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.5833333333333334,0.5217391304347826,0.6129032258064516,0.08333333333333333,0.1,0.3,0.25,0.3333333333333333,0.5333333333333333,0.1774193548387097
12550,11600094,Dwight Howard,0.23157894736842105,0.11483253588516742,0.7606602475928472,0.21615201900237527,0.41025641025641024,0.5283018867924528,0.44086021505376344,0.5474452554744524,0.6406067677946325,0.4086845466155811,0.6904761904761905,0.5737704918032787,0.4762430939226519,0.20833333333333334,0.22,0.455,0.0,0.0,0.0,0.24,0.23076923076923078,0.667,0.4166666666666667,0.43478260869565216,0.4838709677419355,0.125,0.0,0.1,0.25,0.6666666666666666,0.6111111111111112,0.25806451612903225
12551,11600083,Dwight Howard,0.3894736842105263,0.3875598086124401,0.5763411279229712,0.339667458432304,0.4358974358974359,0.6792452830188679,0.3548387096774194,0.3454987834549876,0.7666277712952159,0.37292464878671777,0.38095238095238093,0.39344262295081966,0.39364640883977897,0.125,0.2,0.3,0.0,0.0,0.0,0.16,0.2564102564102564,0.4,0.3333333333333333,0.30434782608695654,0.3548387096774194,0.08333333333333333,0.4,0.3,0.08333333333333333,0.5,0.6666666666666666,0.16129032258064516
12552,11600056,Dwight Howard,0.3684210526315789,0.42344497607655496,0.5708390646492434,0.46674584323040363,0.4358974358974359,0.4339622641509434,0.46236559139784944,0.4355231143552311,0.7876312718786463,0.31928480204342274,0.42857142857142855,0.4098360655737705,0.4580110497237569,0.2916666666666667,0.22,0.636,0.0,0.0,0.0,0.04,0.07692307692307693,0.3329999999999999,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.041666666666666664,0.0,0.3,0.08333333333333333,1.0,0.36666666666666664,0.24193548387096775
12553,11600040,Dwight Howard,0.42105263157894735,0.4808612440191385,0.5557083906464925,0.12470308788598573,0.358974358974359,0.5283018867924528,0.3978494623655914,0.35523114355231145,0.8203033838973162,0.3831417624521073,0.35714285714285715,0.36065573770491804,0.392817679558011,0.4583333333333333,0.3,0.733,0.0,0.0,0.0,0.16,0.23076923076923078,0.444,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.08333333333333333,0.1,0.2,0.0,0.8333333333333334,0.6555555555555556,0.41935483870967744
12554,11600023,Dwight Howard,0.25263157894736843,0.26076555023923437,0.4167812929848694,0.19833729216152005,0.20512820512820512,0.3584905660377358,0.5161290322580645,0.5620437956204378,0.5939323220536756,0.425287356321839,0.5714285714285714,0.5409836065573771,0.29171270718232045,0.125,0.14,0.429,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.25,0.17391304347826086,0.22580645161290322,0.0,0.0,0.0,0.25,0.6666666666666666,0.37777777777777777,0.0967741935483871
12555,41500145,Dwight Howard,0.5789473684210527,0.6985645933014352,0.420907840440165,0.4976247030878859,0.5641025641025641,0.4339622641509434,0.26881720430107525,0.19464720194647203,0.6312718786464411,0.2401021711366539,0.30952380952380953,0.5409836065573771,0.7483425414364641,0.125,0.26,0.231,0.0,0.041666666666666664,0.0,0.08,0.10256410256410256,0.5,0.9166666666666666,0.43478260869565216,0.6774193548387096,0.041666666666666664,0.1,0.1,0.0,0.8333333333333334,0.14444444444444443,0.12903225806451613
12556,41500144,Dwight Howard,0.3684210526315789,0.3971291866028707,0.4566712517193947,0.2197149643705463,0.2564102564102564,0.5094339622641509,0.6989247311827957,0.6593673965936739,0.41656942823803966,0.6704980842911878,0.8095238095238095,0.3770491803278688,0.5966850828729282,0.2916666666666667,0.18,0.778,0.0,0.0,0.0,0.2,0.3333333333333333,0.385,0.25,0.5217391304347826,0.4838709677419355,0.0,0.0,0.1,0.16666666666666666,0.3333333333333333,0.2111111111111111,0.3064516129032258
12557,41500143,Dwight Howard,0.4,0.32057416267942584,0.46217331499312236,0.3634204275534441,0.2564102564102564,0.660377358490566,0.43010752688172044,0.4476885644768856,0.7187864644107351,0.30651340996168586,0.4523809523809524,0.3770491803278688,0.5477900552486187,0.25,0.18,0.667,0.0,0.0,0.0,0.04,0.15384615384615385,0.1669999999999999,0.5,0.30434782608695654,0.41935483870967744,0.08333333333333333,0.1,0.2,0.16666666666666666,0.5,0.5444444444444444,0.20967741935483872
12558,41500142,Dwight Howard,0.5894736842105263,0.5669856459330143,0.6024759284731774,0.4133016627078384,0.48717948717948717,0.41509433962264153,0.5376344086021505,0.47931873479318704,0.7526254375729288,0.5108556832694765,0.40476190476190477,0.2786885245901639,0.5878453038674033,0.20833333333333334,0.14,0.7140000000000001,0.0,0.0,0.0,0.08,0.10256410256410256,0.5,0.4166666666666667,0.21739130434782608,0.3225806451612903,0.16666666666666666,0.1,0.2,0.25,1.0,0.23333333333333334,0.1935483870967742
12559,41500141,Dwight Howard,0.47368421052631576,0.4114832535885167,0.5419532324621733,0.4750593824228028,0.46153846153846156,0.6792452830188679,0.23655913978494625,0.2700729927007299,0.41656942823803966,0.3486590038314177,0.2857142857142857,0.5081967213114754,0.5011049723756906,0.20833333333333334,0.2,0.5,0.0,0.0,0.0,0.16,0.28205128205128205,0.364,0.08333333333333333,0.43478260869565216,0.3548387096774194,0.041666666666666664,0.1,0.1,0.4166666666666667,0.8333333333333334,0.3,0.22580645161290322
12560,21501224,Dwight Howard,0.6,0.5454545454545453,0.4938101788170564,0.339667458432304,0.6410256410256411,0.7169811320754716,0.26881720430107525,0.2116788321167881,0.3722287047841308,0.37931034482758624,0.40476190476190477,0.47540983606557374,0.4165745856353591,0.2916666666666667,0.18,0.778,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.16666666666666666,0.34782608695652173,0.3225806451612903,0.0,0.0,0.1,0.0,0.16666666666666666,0.5888888888888889,0.22580645161290322
12561,21501207,Dwight Howard,0.4842105263157895,0.4808612440191385,0.624484181568088,0.28266033254156764,0.4358974358974359,0.4339622641509434,0.7849462365591398,0.7591240875912407,0.6406067677946325,0.6385696040868455,0.5714285714285714,0.3770491803278688,0.44640883977900553,0.3333333333333333,0.22,0.727,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.125,0.1,0.1,0.3333333333333333,0.3333333333333333,0.6777777777777778,0.3064516129032258
12562,21501195,Dwight Howard,0.7473684210526316,0.6052631578947368,0.6176066024759285,0.4928741092636579,0.5641025641025641,0.5849056603773585,0.5806451612903226,0.6034063260340632,0.8156359393232206,0.5478927203065135,0.5,0.32786885245901637,0.5480662983425415,0.16666666666666666,0.14,0.5710000000000001,0.0,0.0,0.0,0.04,0.07692307692307693,0.3329999999999999,0.16666666666666666,0.4782608695652174,0.41935483870967744,0.041666666666666664,0.2,0.3,0.0,0.5,0.7333333333333333,0.14516129032258066
12563,21501175,Dwight Howard,0.5894736842105263,0.7440191387559807,0.45942228335625857,0.5035629453681709,0.46153846153846156,0.16981132075471697,0.7311827956989247,0.5401459854014596,0.7992998833138856,0.49425287356321845,0.6428571428571429,0.4426229508196721,0.49475138121546963,0.16666666666666666,0.14,0.5710000000000001,0.0,0.041666666666666664,0.0,0.08,0.05128205128205128,1.0,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.0,0.0,0.4,0.0,0.16666666666666666,0.4222222222222222,0.16129032258064516
12564,21501170,Dwight Howard,0.30526315789473685,0.37320574162679415,0.8033012379642366,0.35985748218527314,0.28205128205128205,0.4339622641509434,0.3225806451612903,0.46228710462287104,0.6114352392065344,0.3831417624521073,0.35714285714285715,0.3442622950819672,0.556353591160221,0.2916666666666667,0.18,0.778,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.5,0.43478260869565216,0.5161290322580645,0.041666666666666664,0.0,0.1,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.22580645161290322
12565,21501145,Dwight Howard,0.6210526315789474,0.3468899521531101,0.8418156808803301,0.36817102137767216,0.41025641025641024,0.5283018867924528,0.5806451612903226,0.5279805352798052,0.8179696616102685,0.330779054916986,0.40476190476190477,0.4918032786885246,0.3381215469613259,0.08333333333333333,0.12,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.21739130434782608,0.25806451612903225,0.08333333333333333,0.1,0.0,0.0,0.8333333333333334,0.5333333333333333,0.06451612903225806
