,GAME_ID,PLAYER_NAME,PTS_home_KevinDurant,FG_PCT_home_KevinDurant,FT_PCT_home_KevinDurant,FG3_PCT_home_KevinDurant,AST_home_KevinDurant,REB_home_KevinDurant,PTS_away_KevinDurant,FG_PCT_away_KevinDurant,FT_PCT_away_KevinDurant,FG3_PCT_away_KevinDurant,AST_away_KevinDurant,REB_away_KevinDurant,MIN_KevinDurant,FGM_KevinDurant,FGA_KevinDurant,FG_PCT_KevinDurant,FG3M_KevinDurant,FG3A_KevinDurant,FG3_PCT_KevinDurant,FTM_KevinDurant,FTA_KevinDurant,FT_PCT_KevinDurant,OREB_KevinDurant,DREB_KevinDurant,REB_KevinDurant,AST_KevinDurant,STL_KevinDurant,BLK_KevinDurant,TO_KevinDurant,PF_KevinDurant,PLUS_MINUS_KevinDurant,PTS_KevinDurant
1989,21000388,Kevin Durant,0.45263157894736844,0.5358851674641147,0.49931224209078406,0.2375296912114014,0.38461538461538464,0.49056603773584906,0.3333333333333333,0.4403892944038932,0.5939323220536756,0.23243933588761176,0.2619047619047619,0.36065573770491804,0.5988950276243094,0.2916666666666667,0.3,0.467,0.07142857142857142,0.125,0.3329999999999999,0.36,0.3333333333333333,0.6920000000000001,0.08333333333333333,0.043478260869565216,0.06451612903225806,0.20833333333333334,0.1,0.1,0.16666666666666666,0.0,0.5111111111111111,0.3870967741935484
1990,21000374,Kevin Durant,0.6105263157894737,0.7655502392344499,0.9532324621733149,0.7553444180522565,0.4358974358974359,0.4528301886792453,0.5268817204301075,0.5279805352798052,0.6662777129521588,0.5223499361430396,0.42857142857142855,0.13114754098360656,0.5883977900552486,0.5,0.36,0.667,0.14285714285714285,0.08333333333333333,1.0,0.24,0.15384615384615385,1.0,0.0,0.30434782608695654,0.22580645161290322,0.16666666666666666,0.0,0.0,0.25,0.6666666666666666,0.6444444444444445,0.5161290322580645
1991,21000352,Kevin Durant,0.49473684210526314,0.6578947368421053,0.5983493810178816,0.4370546318289786,0.4358974358974359,0.5094339622641509,0.22580645161290322,0.2238442822384426,0.5624270711785297,0.425287356321839,0.16666666666666666,0.4098360655737705,0.5005524861878453,0.4166666666666667,0.34,0.588,0.14285714285714285,0.16666666666666666,0.5,0.12,0.10256410256410256,0.75,0.0,0.30434782608695654,0.22580645161290322,0.0,0.1,0.1,0.4166666666666667,0.3333333333333333,0.7666666666666667,0.4032258064516129
1992,21000335,Kevin Durant,0.3473684210526316,0.5167464114832535,0.6409903713892711,0.42399049881235146,0.3076923076923077,0.37735849056603776,0.44086021505376344,0.6180048661800486,0.8658109684947491,0.39335887611749687,0.3333333333333333,0.22950819672131148,0.7414364640883978,0.3333333333333333,0.4,0.4,0.14285714285714285,0.20833333333333334,0.4,0.28,0.20512820512820512,0.875,0.0,0.21739130434782608,0.16129032258064516,0.25,0.0,0.2,0.16666666666666666,0.16666666666666666,0.5444444444444444,0.4032258064516129
1993,21000320,Kevin Durant,0.4631578947368421,0.3875598086124401,0.5240715268225585,0.5273159144893111,0.3333333333333333,0.4339622641509434,0.5913978494623656,0.6642335766423357,0.9136522753792299,0.45083014048531295,0.5476190476190477,0.36065573770491804,0.6560773480662984,0.4583333333333333,0.46,0.478,0.21428571428571427,0.2916666666666667,0.429,0.2,0.15384615384615385,0.833,0.0,0.4782608695652174,0.3548387096774194,0.25,0.1,0.1,0.4166666666666667,1.0,0.4666666666666667,0.4838709677419355
1994,21000305,Kevin Durant,0.42105263157894735,0.5406698564593301,0.4332874828060522,0.5403800475059382,0.4358974358974359,0.660377358490566,0.3655913978494624,0.2627737226277372,0.8868144690781797,0.2694763729246488,0.21428571428571427,0.3114754098360656,0.5464088397790056,0.2916666666666667,0.36,0.389,0.07142857142857142,0.20833333333333334,0.2,0.56,0.358974358974359,1.0,0.0,0.21739130434782608,0.16129032258064516,0.0,0.2,0.2,0.16666666666666666,0.16666666666666666,0.5,0.46774193548387094
1995,21000297,Kevin Durant,0.5789473684210527,0.4258373205741626,0.8968363136176066,0.29691211401425177,0.4358974358974359,0.5660377358490566,0.5698924731182796,0.5012165450121655,0.8331388564760793,0.44699872286079184,0.38095238095238093,0.39344262295081966,0.6287292817679557,0.3333333333333333,0.32,0.5,0.07142857142857142,0.125,0.3329999999999999,0.44,0.3076923076923077,0.917,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.125,0.0,0.2,0.16666666666666666,0.3333333333333333,0.5888888888888889,0.45161290322580644
1996,21000251,Kevin Durant,0.37894736842105264,0.289473684210526,0.8583218707015131,0.41567695961995244,0.23076923076923078,0.7358490566037735,0.3548387096774194,0.46958637469586373,0.5880980163360561,0.5478927203065135,0.40476190476190477,0.26229508196721313,0.6687845303867404,0.2916666666666667,0.44,0.318,0.0,0.20833333333333334,0.0,0.48,0.3333333333333333,0.923,0.16666666666666666,0.391304347826087,0.3548387096774194,0.08333333333333333,0.1,0.2,0.25,0.16666666666666666,0.5777777777777777,0.41935483870967744
1997,21000247,Kevin Durant,0.42105263157894735,0.4665071770334928,0.5185694635488308,0.6983372921615201,0.46153846153846156,0.5094339622641509,0.45161290322580644,0.6034063260340632,0.5939323220536756,0.5325670498084292,0.35714285714285715,0.26229508196721313,0.6295580110497238,0.2916666666666667,0.36,0.389,0.14285714285714285,0.16666666666666666,0.5,0.08,0.10256410256410256,0.5,0.0,0.08695652173913043,0.06451612903225806,0.125,0.0,0.0,0.16666666666666666,0.16666666666666666,0.43333333333333335,0.2903225806451613
1998,21000227,Kevin Durant,0.49473684210526314,0.4377990430622009,0.656121045392022,0.4133016627078384,0.358974358974359,0.6037735849056604,0.5806451612903226,0.34793187347931875,0.8576429404900817,0.2694763729246488,0.23809523809523808,0.6065573770491803,0.7450276243093923,0.375,0.52,0.346,0.07142857142857142,0.3333333333333333,0.125,0.24,0.1794871794871795,0.857,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.041666666666666664,0.2,0.1,0.25,0.16666666666666666,0.6333333333333333,0.4032258064516129
