,GAME_ID,PLAYER_NAME,PTS_home_LaMarcusAldridge,FG_PCT_home_LaMarcusAldridge,FT_PCT_home_LaMarcusAldridge,FG3_PCT_home_LaMarcusAldridge,AST_home_LaMarcusAldridge,REB_home_LaMarcusAldridge,PTS_away_LaMarcusAldridge,FG_PCT_away_LaMarcusAldridge,FT_PCT_away_LaMarcusAldridge,FG3_PCT_away_LaMarcusAldridge,AST_away_LaMarcusAldridge,REB_away_LaMarcusAldridge,MIN_LaMarcusAldridge,FGM_LaMarcusAldridge,FGA_LaMarcusAldridge,FG_PCT_LaMarcusAldridge,FG3M_LaMarcusAldridge,FG3A_LaMarcusAldridge,FG3_PCT_LaMarcusAldridge,FTM_LaMarcusAldridge,FTA_LaMarcusAldridge,FT_PCT_LaMarcusAldridge,OREB_LaMarcusAldridge,DREB_LaMarcusAldridge,REB_LaMarcusAldridge,AST_LaMarcusAldridge,STL_LaMarcusAldridge,BLK_LaMarcusAldridge,TO_LaMarcusAldridge,PF_LaMarcusAldridge,PLUS_MINUS_LaMarcusAldridge,PTS_LaMarcusAldridge
14825,21800403,LaMarcus Aldridge,0.5473684210526316,0.5669856459330143,0.7826685006877581,0.7351543942992873,0.5128205128205128,0.5471698113207547,0.3225806451612903,0.3795620437956205,0.8331388564760793,0.3652618135376756,0.35714285714285715,0.32786885245901637,0.405524861878453,0.3333333333333333,0.32,0.5,0.0,0.0,0.0,0.08,0.10256410256410256,0.5,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.0,0.1,0.1,0.3333333333333333,0.3333333333333333,0.5888888888888889,0.2903225806451613
14826,21800390,LaMarcus Aldridge,0.5368421052631579,0.6483253588516746,0.8858321870701513,0.42399049881235146,0.46153846153846156,0.5471698113207547,0.44086021505376344,0.45985401459854014,0.6931155192532088,0.39591315453384424,0.4523809523809524,0.29508196721311475,0.4861878453038674,0.4166666666666667,0.3,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.041666666666666664,0.0,0.3,0.16666666666666666,0.8333333333333334,0.5333333333333333,0.3225806451612903
14827,21800375,LaMarcus Aldridge,0.7789473684210526,0.5933014354066986,0.7909215955983493,0.4976247030878859,0.48717948717948717,0.5849056603773585,0.6881720430107527,0.5206812652068127,0.7782963827304551,0.39080459770114945,0.47619047619047616,0.3770491803278688,0.3751381215469613,0.25,0.32,0.375,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.25,0.21739130434782608,0.25806451612903225,0.041666666666666664,0.0,0.1,0.0,0.5,0.4222222222222222,0.22580645161290322
14828,21800364,LaMarcus Aldridge,0.6526315789473685,0.5263157894736841,0.5832187070151308,0.4263657957244655,0.3333333333333333,0.4716981132075472,0.6129032258064516,0.4914841849148416,1.0,0.330779054916986,0.3333333333333333,0.47540983606557374,0.5323204419889502,0.2916666666666667,0.28,0.5,0.0,0.0,0.0,0.28,0.1794871794871795,1.0,0.25,0.2608695652173913,0.2903225806451613,0.041666666666666664,0.1,0.1,0.16666666666666666,0.6666666666666666,0.4222222222222222,0.3387096774193548
14829,21800354,LaMarcus Aldridge,0.8421052631578947,0.8373205741626792,0.7936726272352131,0.7197149643705463,0.7692307692307693,0.4716981132075472,0.5268817204301075,0.5912408759124087,0.8938156359393232,0.40613026819923376,0.5,0.19672131147540983,0.3602209944751381,0.2916666666666667,0.2,0.7,0.0,0.0,0.0,0.08,0.05128205128205128,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.08333333333333333,0.1,0.1,0.25,0.16666666666666666,0.26666666666666666,0.25806451612903225
14830,21800342,LaMarcus Aldridge,0.7578947368421053,0.825358851674641,0.874828060522696,0.8705463182897861,0.5384615384615384,0.32075471698113206,0.6666666666666666,0.6739659367396593,1.0,0.5287356321839081,0.5,0.2459016393442623,0.5698895027624309,0.4583333333333333,0.3,0.733,0.0,0.0,0.0,0.28,0.20512820512820512,0.875,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.125,0.1,0.1,0.4166666666666667,0.16666666666666666,0.45555555555555555,0.46774193548387094
14831,21800326,LaMarcus Aldridge,0.4842105263157895,0.4688995215311002,0.7936726272352131,0.42399049881235146,0.41025641025641024,0.4528301886792453,0.8602150537634409,0.6180048661800486,0.7666277712952159,0.5197956577266922,0.6666666666666666,0.47540983606557374,0.5002762430939226,0.2916666666666667,0.32,0.4379999999999999,0.0,0.0,0.0,0.24,0.15384615384615385,1.0,0.3333333333333333,0.08695652173913043,0.1935483870967742,0.0,0.0,0.2,0.0,0.3333333333333333,0.17777777777777778,0.3225806451612903
14832,21800311,LaMarcus Aldridge,0.7263157894736842,0.5933014354066986,0.5419532324621733,0.5213776722090261,0.6410256410256411,0.5849056603773585,0.3548387096774194,0.35279805352798055,1.0,0.37803320561941256,0.4523809523809524,0.4262295081967213,0.4066298342541437,0.20833333333333334,0.22,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.30434782608695654,0.2903225806451613,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.16129032258064516
14833,21800297,LaMarcus Aldridge,0.5052631578947369,0.5023923444976076,0.7496561210453919,0.5035629453681709,0.38461538461538464,0.49056603773584906,0.5591397849462365,0.5790754257907542,0.8704784130688448,0.425287356321839,0.5952380952380952,0.4262295081967213,0.5030386740331492,0.3333333333333333,0.24,0.667,0.0,0.0,0.0,0.16,0.1282051282051282,0.8,0.25,0.21739130434782608,0.25806451612903225,0.125,0.1,0.2,0.16666666666666666,0.16666666666666666,0.4,0.3225806451612903
14834,21800284,LaMarcus Aldridge,0.8,0.748803827751196,0.6685006877579092,0.4453681710213776,0.5641025641025641,0.4528301886792453,0.7849462365591398,0.6982968369829681,0.7082847141190198,0.6079182630906769,0.5476190476190477,0.3114754098360656,0.5069060773480663,0.25,0.24,0.5,0.0,0.0,0.0,0.12,0.10256410256410256,0.75,0.0,0.13043478260869565,0.0967741935483871,0.125,0.1,0.0,0.25,0.0,0.15555555555555556,0.24193548387096775
