,GAME_ID,PLAYER_NAME,PTS_home_CarmeloAnthony,FG_PCT_home_CarmeloAnthony,FT_PCT_home_CarmeloAnthony,FG3_PCT_home_CarmeloAnthony,AST_home_CarmeloAnthony,REB_home_CarmeloAnthony,PTS_away_CarmeloAnthony,FG_PCT_away_CarmeloAnthony,FT_PCT_away_CarmeloAnthony,FG3_PCT_away_CarmeloAnthony,AST_away_CarmeloAnthony,REB_away_CarmeloAnthony,MIN_CarmeloAnthony,FGM_CarmeloAnthony,FGA_CarmeloAnthony,FG_PCT_CarmeloAnthony,FG3M_CarmeloAnthony,FG3A_CarmeloAnthony,FG3_PCT_CarmeloAnthony,FTM_CarmeloAnthony,FTA_CarmeloAnthony,FT_PCT_CarmeloAnthony,OREB_CarmeloAnthony,DREB_CarmeloAnthony,REB_CarmeloAnthony,AST_CarmeloAnthony,STL_CarmeloAnthony,BLK_CarmeloAnthony,TO_CarmeloAnthony,PF_CarmeloAnthony,PLUS_MINUS_CarmeloAnthony,PTS_CarmeloAnthony
13930,21201174,Carmelo Anthony,0.6210526315789474,0.4569377990430619,0.7400275103163686,0.4394299287410926,0.38461538461538464,0.6792452830188679,0.5913978494623656,0.384428223844282,0.73512252042007,0.425287356321839,0.3333333333333333,0.5245901639344263,0.7477900552486187,0.5416666666666666,0.68,0.382,0.0,0.16666666666666666,0.0,0.4,0.2564102564102564,1.0,0.5,0.5652173913043478,0.6129032258064516,0.08333333333333333,0.0,0.1,0.16666666666666666,0.5,0.4888888888888889,0.5806451612903226
13931,21201156,Carmelo Anthony,0.6421052631578947,0.7320574162679424,0.6066024759284733,0.6603325415676959,0.46153846153846156,0.41509433962264153,0.46236559139784944,0.5085158150851582,0.6499416569428238,0.5108556832694765,0.3333333333333333,0.29508196721311475,0.5107734806629834,0.5416666666666666,0.42,0.619,0.21428571428571427,0.16666666666666666,0.75,0.28,0.23076923076923078,0.778,0.08333333333333333,0.30434782608695654,0.25806451612903225,0.25,0.0,0.0,0.0,0.3333333333333333,0.7333333333333333,0.5806451612903226
13932,21201145,Carmelo Anthony,0.6421052631578947,0.7655502392344499,0.779917469050894,0.6282660332541568,0.38461538461538464,0.37735849056603776,0.7419354838709677,0.6058394160583941,0.7082847141190198,0.5632183908045978,0.42857142857142855,0.3442622950819672,0.6071823204419889,0.625,0.58,0.517,0.21428571428571427,0.25,0.5,0.12,0.10256410256410256,0.75,0.75,0.13043478260869565,0.3870967741935484,0.0,0.0,0.1,0.0,0.6666666666666666,0.5,0.5806451612903226
13933,21201128,Carmelo Anthony,0.4421052631578947,0.4880382775119617,0.828060522696011,0.39548693586698325,0.23076923076923078,0.6226415094339622,0.2903225806451613,0.3309002433090024,0.67561260210035,0.5108556832694765,0.2857142857142857,0.32786885245901637,0.6143646408839779,0.7083333333333334,0.56,0.607,0.21428571428571427,0.2916666666666667,0.429,0.16,0.10256410256410256,1.0,0.4166666666666667,0.391304347826087,0.45161290322580644,0.041666666666666664,0.0,0.1,0.4166666666666667,0.3333333333333333,0.7222222222222222,0.6612903225806451
13934,21201113,Carmelo Anthony,0.24210526315789474,0.5454545454545453,0.27647867950481425,0.4109263657957244,0.358974358974359,0.33962264150943394,0.41935483870967744,0.6642335766423357,0.6114352392065344,0.40613026819923376,0.2857142857142857,0.29508196721311475,0.6784530386740331,0.7083333333333334,0.54,0.63,0.07142857142857142,0.08333333333333333,0.5,0.2,0.15384615384615385,0.833,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.125,0.0,0.0,0.08333333333333333,0.5,0.6,0.6451612903225806
13935,21201109,Carmelo Anthony,0.3263157894736842,0.5813397129186603,0.7455295735900962,0.4750593824228028,0.2564102564102564,0.2830188679245283,0.4946236559139785,0.6690997566909975,0.6499416569428238,0.6628352490421456,0.30952380952380953,0.06557377049180328,0.6685082872928176,0.75,0.52,0.6920000000000001,0.5,0.4166666666666667,0.7,0.28,0.20512820512820512,0.875,0.0,0.08695652173913043,0.06451612903225806,0.08333333333333333,0.1,0.1,0.0,0.5,0.6444444444444445,0.8064516129032258
13936,21201099,Carmelo Anthony,0.5157894736842106,0.547846889952153,0.6891334250343879,0.6163895486935866,0.38461538461538464,0.4528301886792453,0.3548387096774194,0.45255474452554767,0.7467911318553091,0.3575989782886335,0.19047619047619047,0.2786885245901639,0.4549723756906077,0.375,0.38,0.474,0.14285714285714285,0.16666666666666666,0.5,0.16,0.10256410256410256,1.0,0.25,0.30434782608695654,0.3225806451612903,0.125,0.2,0.0,0.16666666666666666,0.6666666666666666,0.5777777777777777,0.3870967741935484
13937,21201076,Carmelo Anthony,0.5473684210526316,0.5669856459330143,0.8170563961485557,0.5629453681710213,0.15384615384615385,0.37735849056603776,0.4946236559139785,0.5352798053527981,0.7362893815635939,0.4916985951468711,0.3333333333333333,0.22950819672131148,0.5941988950276244,0.4583333333333333,0.56,0.3929999999999999,0.07142857142857142,0.125,0.3329999999999999,0.36,0.2564102564102564,0.9,0.5833333333333334,0.17391304347826086,0.3548387096774194,0.08333333333333333,0.1,0.0,0.4166666666666667,0.6666666666666666,0.4888888888888889,0.5161290322580645
13938,21201061,Carmelo Anthony,0.5157894736842106,0.6148325358851674,0.8129298486932601,0.4976247030878859,0.2564102564102564,0.2641509433962264,0.4838709677419355,0.5474452554744524,0.8004667444574096,0.3652618135376756,0.23809523809523808,0.22950819672131148,0.6709944751381215,0.3333333333333333,0.4,0.4,0.0,0.08333333333333333,0.0,0.24,0.15384615384615385,1.0,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.125,0.1,0.0,0.16666666666666666,0.6666666666666666,0.45555555555555555,0.3548387096774194
13939,21201054,Carmelo Anthony,0.2736842105263158,0.4593301435406698,0.687757909215956,0.3562945368171021,0.3076923076923077,0.4339622641509434,0.4731182795698925,0.4549878345498783,0.7409568261376897,0.3652618135376756,0.16666666666666666,0.3442622950819672,0.5939226519337016,0.4166666666666667,0.6,0.3329999999999999,0.14285714285714285,0.3333333333333333,0.25,0.28,0.23076923076923078,0.778,0.5,0.08695652173913043,0.25806451612903225,0.041666666666666664,0.3,0.0,0.25,0.6666666666666666,0.6555555555555556,0.46774193548387094
13940,21201034,Carmelo Anthony,0.5368421052631579,0.6267942583732057,0.8803301237964237,0.4370546318289786,0.3076923076923077,0.5094339622641509,0.3010752688172043,0.48905109489051096,0.6114352392065344,0.22222222222222224,0.21428571428571427,0.2459016393442623,0.5013812154696132,0.375,0.38,0.474,0.0,0.125,0.0,0.4,0.2564102564102564,1.0,0.25,0.21739130434782608,0.25806451612903225,0.08333333333333333,0.1,0.0,0.16666666666666666,0.5,0.6555555555555556,0.45161290322580644
