,GAME_ID,PLAYER_NAME,PTS_home_StephenCurry,FG_PCT_home_StephenCurry,FT_PCT_home_StephenCurry,FG3_PCT_home_StephenCurry,AST_home_StephenCurry,REB_home_StephenCurry,PTS_away_StephenCurry,FG_PCT_away_StephenCurry,FT_PCT_away_StephenCurry,FG3_PCT_away_StephenCurry,AST_away_StephenCurry,REB_away_StephenCurry,MIN_StephenCurry,FGM_StephenCurry,FGA_StephenCurry,FG_PCT_StephenCurry,FG3M_StephenCurry,FG3A_StephenCurry,FG3_PCT_StephenCurry,FTM_StephenCurry,FTA_StephenCurry,FT_PCT_StephenCurry,OREB_StephenCurry,DREB_StephenCurry,REB_StephenCurry,AST_StephenCurry,STL_StephenCurry,BLK_StephenCurry,TO_StephenCurry,PF_StephenCurry,PLUS_MINUS_StephenCurry,PTS_StephenCurry
1440,21501119,Stephen Curry,0.3894736842105263,0.3468899521531101,0.24071526822558442,0.333729216152019,0.15384615384615385,0.6981132075471698,0.5053763440860215,0.46715328467153255,0.67561260210035,0.43805874840357595,0.35714285714285715,0.4262295081967213,0.7005524861878453,0.4583333333333333,0.46,0.478,0.35714285714285715,0.4166666666666667,0.5,0.16,0.1282051282051282,0.8,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.16666666666666666,0.2,0.0,0.4166666666666667,0.6666666666666666,0.5444444444444444,0.5
1441,21501112,Stephen Curry,0.45263157894736844,0.4306220095693782,0.5213204951856947,0.5225653206650831,0.48717948717948717,0.7169811320754716,0.40860215053763443,0.42092457420924567,0.5682613768961493,0.277139208173691,0.5238095238095238,0.45901639344262296,0.575414364640884,0.375,0.4,0.45,0.42857142857142855,0.3333333333333333,0.75,0.08,0.05128205128205128,1.0,0.0,0.30434782608695654,0.22580645161290322,0.2916666666666667,0.5,0.0,0.4166666666666667,0.5,0.6444444444444445,0.41935483870967744
1442,21501094,Stephen Curry,0.6105263157894737,0.65311004784689,0.656121045392022,0.5035629453681709,0.6153846153846154,0.5094339622641509,0.5268817204301075,0.537712895377129,0.9031505250875146,0.425287356321839,0.5476190476190477,0.2786885245901639,0.5502762430939226,0.2916666666666667,0.32,0.4379999999999999,0.14285714285714285,0.375,0.222,0.16,0.1282051282051282,0.8,0.0,0.13043478260869565,0.0967741935483871,0.3333333333333333,0.4,0.0,0.3333333333333333,0.0,0.5222222222222223,0.3225806451612903
1443,21501080,Stephen Curry,0.7263157894736842,0.555023923444976,0.8803301237964237,0.5546318289786223,0.5641025641025641,0.4339622641509434,0.6881720430107527,0.4914841849148416,0.7222870478413069,0.6564495530012773,0.6428571428571429,0.5081967213114754,0.5831491712707182,0.375,0.36,0.5,0.35714285714285715,0.5,0.417,0.4,0.28205128205128205,0.909,0.0,0.34782608695652173,0.25806451612903225,0.3333333333333333,0.4,0.0,0.25,0.0,0.6444444444444445,0.532258064516129
1444,21501066,Stephen Curry,0.5789473684210527,0.4569377990430619,0.656121045392022,0.5237529691211401,0.38461538461538464,0.6226415094339622,0.45161290322580644,0.4330900243309002,0.6114352392065344,0.3652618135376756,0.40476190476190477,0.4262295081967213,0.6204419889502761,0.5,0.46,0.522,0.2857142857142857,0.4166666666666667,0.4,0.2,0.15384615384615385,0.833,0.0,0.17391304347826086,0.12903225806451613,0.20833333333333334,0.3,0.0,0.08333333333333333,0.5,0.5222222222222223,0.532258064516129
1445,21501050,Stephen Curry,0.47368421052631576,0.43540669856459324,0.7702888583218707,0.4370546318289786,0.46153846153846156,0.37735849056603776,0.5698924731182796,0.6034063260340632,0.5624270711785297,0.425287356321839,0.6428571428571429,0.39344262295081966,0.5773480662983426,0.25,0.34,0.353,0.14285714285714285,0.375,0.222,0.2,0.15384615384615385,0.833,0.25,0.17391304347826086,0.22580645161290322,0.4583333333333333,0.3,0.1,0.4166666666666667,0.6666666666666666,0.4777777777777778,0.3064516129032258
1446,21501036,Stephen Curry,0.29473684210526313,0.3660287081339712,0.7702888583218707,0.45249406175771967,0.23076923076923078,0.6792452830188679,0.24731182795698925,0.32116788321167855,0.7666277712952159,0.31928480204342274,0.47619047619047616,0.2786885245901639,0.6232044198895028,0.16666666666666666,0.36,0.222,0.07142857142857142,0.5,0.083,0.2,0.1282051282051282,1.0,0.16666666666666666,0.17391304347826086,0.1935483870967742,0.25,0.2,0.0,0.16666666666666666,0.0,0.36666666666666664,0.22580645161290322
1447,21501026,Stephen Curry,0.5578947368421052,0.4401913875598086,0.9381017881705639,0.36817102137767216,0.4358974358974359,0.5471698113207547,0.7956989247311828,0.6301703163017032,0.8331388564760793,0.7394636015325671,0.7380952380952381,0.36065573770491804,0.5687845303867404,0.5,0.52,0.462,0.42857142857142855,0.5,0.5,0.04,0.02564102564102564,1.0,0.08333333333333333,0.34782608695652173,0.2903225806451613,0.4166666666666667,0.2,0.0,0.08333333333333333,0.3333333333333333,0.5666666666666667,0.5
1448,21501011,Stephen Curry,0.6526315789473685,0.5933014354066986,0.8858321870701513,0.5771971496437054,0.6153846153846154,0.6981132075471698,0.3118279569892473,0.36496350364963503,0.5332555425904317,0.4699872286079183,0.5952380952380952,0.29508196721311475,0.46988950276243097,0.5,0.4,0.6,0.5714285714285714,0.5416666666666666,0.615,0.08,0.05128205128205128,1.0,0.0,0.2608695652173913,0.1935483870967742,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.8222222222222222,0.5483870967741935
1449,21500996,Stephen Curry,0.6947368421052632,0.7727272727272726,0.7606602475928472,0.5700712589073633,0.5641025641025641,0.5471698113207547,0.5483870967741935,0.31630170316301703,0.8623103850641773,0.3575989782886335,0.3333333333333333,0.32786885245901637,0.5187845303867403,0.4166666666666667,0.32,0.625,0.2857142857142857,0.375,0.444,0.12,0.10256410256410256,0.75,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.20833333333333334,0.2,0.0,0.08333333333333333,0.16666666666666666,0.7777777777777778,0.43548387096774194
1450,21500981,Stephen Curry,0.6736842105263158,0.5813397129186603,0.7909215955983493,0.39548693586698325,0.5128205128205128,0.4716981132075472,0.6451612903225806,0.5912408759124087,0.7082847141190198,0.48403575989782893,0.5952380952380952,0.4426229508196721,0.5798342541436464,0.5,0.48,0.5,0.5,0.6666666666666666,0.4379999999999999,0.16,0.10256410256410256,1.0,0.08333333333333333,0.08695652173913043,0.0967741935483871,0.25,0.0,0.0,0.08333333333333333,0.6666666666666666,0.6888888888888889,0.5645161290322581
1451,21500971,Stephen Curry,0.7263157894736842,0.4593301435406698,0.6822558459422283,0.5344418052256532,0.38461538461538464,0.7358490566037735,0.6021505376344086,0.4476885644768856,0.7969661610268377,0.674329501915709,0.38095238095238093,0.3114754098360656,0.4878453038674033,0.5416666666666666,0.46,0.565,0.5,0.5833333333333334,0.5,0.04,0.05128205128205128,0.5,0.0,0.13043478260869565,0.0967741935483871,0.16666666666666666,0.2,0.0,0.25,0.3333333333333333,0.6333333333333333,0.5483870967741935
1452,21500958,Stephen Curry,0.5894736842105263,0.7511961722488039,0.4497936726272352,0.514251781472684,0.717948717948718,0.41509433962264153,0.40860215053763443,0.38686131386861317,0.6616102683780629,0.5108556832694765,0.40476190476190477,0.36065573770491804,0.5223756906077348,0.16666666666666666,0.24,0.3329999999999999,0.21428571428571427,0.375,0.3329999999999999,0.04,0.05128205128205128,0.5,0.0,0.13043478260869565,0.0967741935483871,0.4166666666666667,0.3,0.0,0.25,0.3333333333333333,0.6111111111111112,0.1935483870967742
1453,21500943,Stephen Curry,0.631578947368421,0.5813397129186603,0.5928473177441541,0.5427553444180522,0.48717948717948717,0.6226415094339622,0.6129032258064516,0.4817518248175182,0.7946324387397901,0.30395913154533843,0.47619047619047616,0.36065573770491804,0.6187845303867403,0.5833333333333334,0.48,0.583,0.5,0.5416666666666666,0.5379999999999999,0.24,0.15384615384615385,1.0,0.08333333333333333,0.5217391304347826,0.41935483870967744,0.125,0.4,0.0,0.4166666666666667,0.5,0.7111111111111111,0.6612903225806451
1454,21500931,Stephen Curry,0.5578947368421052,0.5119617224880382,0.9381017881705639,0.4275534441805225,0.38461538461538464,0.4528301886792453,0.41935483870967744,0.3795620437956205,0.7782963827304551,0.16985951468710092,0.6666666666666666,0.47540983606557374,0.568232044198895,0.25,0.4,0.3,0.07142857142857142,0.4166666666666667,0.1,0.2,0.1282051282051282,1.0,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.16666666666666666,0.1,0.0,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.2903225806451613
1455,21500911,Stephen Curry,0.6526315789473685,0.6770334928229665,0.672627235213205,0.38479809976247026,0.6410256410256411,0.4339622641509434,0.5376344086021505,0.5328467153284672,0.7841306884480747,0.25542784163473825,0.42857142857142855,0.4262295081967213,0.6162983425414363,0.5,0.5,0.48,0.35714285714285715,0.625,0.3329999999999999,0.16,0.1282051282051282,0.8,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.16666666666666666,0.1,0.1,0.08333333333333333,0.3333333333333333,0.5444444444444444,0.532258064516129
1456,21500874,Stephen Curry,0.6210526315789474,0.5311004784688994,0.5240715268225585,0.4109263657957244,0.38461538461538464,0.8490566037735849,0.6989247311827957,0.5547445255474451,0.6266044340723455,0.5593869731800766,0.5,0.19672131147540983,0.6245856353591159,0.5833333333333334,0.48,0.583,0.8571428571428571,0.6666666666666666,0.75,0.24,0.20512820512820512,0.75,0.0,0.13043478260869565,0.0967741935483871,0.25,0.2,0.0,0.25,0.16666666666666666,0.5444444444444444,0.7419354838709677
1457,21500855,Stephen Curry,0.5789473684210527,0.47607655502392343,0.7056396148555707,0.4572446555819477,0.38461538461538464,0.37735849056603776,0.7956989247311828,0.8661800486618004,0.6359393232205367,0.6641123882503194,0.7380952380952381,0.36065573770491804,0.5640883977900552,0.8333333333333334,0.54,0.741,0.7142857142857143,0.625,0.667,0.04,0.02564102564102564,1.0,0.0,0.30434782608695654,0.22580645161290322,0.3333333333333333,0.0,0.1,0.4166666666666667,0.16666666666666666,0.6,0.8225806451612904
1458,21500848,Stephen Curry,0.5578947368421052,0.49760765550239233,0.7785419532324622,0.509501187648456,0.28205128205128205,0.5471698113207547,0.6666666666666666,0.537712895377129,0.8133022170361727,0.5925925925925926,0.4523809523809524,0.3770491803278688,0.5897790055248618,0.5833333333333334,0.58,0.483,0.42857142857142855,0.5,0.5,0.32,0.20512820512820512,1.0,0.25,0.17391304347826086,0.22580645161290322,0.2916666666666667,0.1,0.1,0.5833333333333334,0.0,0.5555555555555556,0.6774193548387096
1459,21500836,Stephen Curry,0.3473684210526316,0.3875598086124401,0.484181568088033,0.34916864608076004,0.38461538461538464,0.5660377358490566,0.4946236559139785,0.46715328467153255,0.8051341890315052,0.3971902937420179,0.6190476190476191,0.3770491803278688,0.5933701657458563,0.5833333333333334,0.44,0.636,0.35714285714285715,0.4583333333333333,0.455,0.12,0.07692307692307693,1.0,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.3333333333333333,0.3,0.0,0.16666666666666666,0.3333333333333333,0.6222222222222222,0.5806451612903226
1460,21500822,Stephen Curry,0.5578947368421052,0.45454545454545453,0.7702888583218707,0.4287410926365795,0.41025641025641024,0.6037735849056604,0.6344086021505376,0.6472019464720195,0.7304550758459744,0.4533844189016603,0.6666666666666666,0.3114754098360656,0.5883977900552486,0.20833333333333334,0.3,0.3329999999999999,0.21428571428571427,0.3333333333333333,0.375,0.4,0.3076923076923077,0.833,0.0,0.13043478260869565,0.0967741935483871,0.375,0.3,0.0,0.25,0.3333333333333333,0.5222222222222223,0.3709677419354839
1461,21500815,Stephen Curry,0.8210526315789474,0.6674641148325359,0.5818431911966987,0.6733966745843231,0.5128205128205128,0.5849056603773585,0.5268817204301075,0.35279805352798055,0.7082847141190198,0.45083014048531295,0.5,0.4426229508196721,0.43591160220994474,0.5,0.46,0.522,0.5,0.5416666666666666,0.5379999999999999,0.0,0.0,0.0,0.16666666666666666,0.043478260869565216,0.0967741935483871,0.20833333333333334,0.2,0.0,0.25,0.6666666666666666,0.2777777777777778,0.5
1462,21500799,Stephen Curry,0.47368421052631576,0.4401913875598086,0.624484181568088,0.339667458432304,0.3333333333333333,0.6226415094339622,0.6021505376344086,0.413625304136253,0.7992998833138856,0.44699872286079184,0.47619047619047616,0.4918032786885246,0.4988950276243094,0.375,0.34,0.529,0.35714285714285715,0.4166666666666667,0.5,0.12,0.10256410256410256,0.75,0.4166666666666667,0.17391304347826086,0.2903225806451613,0.375,0.1,0.1,0.16666666666666666,0.16666666666666666,0.6111111111111112,0.41935483870967744
