,GAME_ID,PLAYER_NAME,PTS_home_JimmyButler,FG_PCT_home_JimmyButler,FT_PCT_home_JimmyButler,FG3_PCT_home_JimmyButler,AST_home_JimmyButler,REB_home_JimmyButler,PTS_away_JimmyButler,FG_PCT_away_JimmyButler,FT_PCT_away_JimmyButler,FG3_PCT_away_JimmyButler,AST_away_JimmyButler,REB_away_JimmyButler,MIN_JimmyButler,FGM_JimmyButler,FGA_JimmyButler,FG_PCT_JimmyButler,FG3M_JimmyButler,FG3A_JimmyButler,FG3_PCT_JimmyButler,FTM_JimmyButler,FTA_JimmyButler,FT_PCT_JimmyButler,OREB_JimmyButler,DREB_JimmyButler,REB_JimmyButler,AST_JimmyButler,STL_JimmyButler,BLK_JimmyButler,TO_JimmyButler,PF_JimmyButler,PLUS_MINUS_JimmyButler,PTS_JimmyButler
10984,21700763,Jimmy Butler,0.5157894736842106,0.672248803827751,0.7936726272352131,0.4370546318289786,0.48717948717948717,0.41509433962264153,0.3548387096774194,0.31630170316301703,0.7199533255542591,0.26436781609195403,0.35714285714285715,0.3770491803278688,0.6560773480662984,0.3333333333333333,0.3,0.5329999999999999,0.14285714285714285,0.20833333333333334,0.4,0.4,0.28205128205128205,0.909,0.0,0.17391304347826086,0.12903225806451613,0.25,0.1,0.0,0.25,0.16666666666666666,0.6777777777777778,0.45161290322580644
10985,21700746,Jimmy Butler,0.5263157894736842,0.5358851674641147,0.7881705639614855,0.36817102137767216,0.5128205128205128,0.41509433962264153,0.5161290322580645,0.6034063260340632,0.5624270711785297,0.5325670498084292,0.40476190476190477,0.32786885245901637,0.6342541436464088,0.375,0.34,0.529,0.14285714285714285,0.125,0.667,0.2,0.2564102564102564,0.5,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.25,0.0,0.0,0.0,0.3333333333333333,0.45555555555555555,0.4032258064516129
10986,21700739,Jimmy Butler,0.4842105263157895,0.5669856459330143,0.828060522696011,0.4536817102137767,0.48717948717948717,0.5094339622641509,0.4731182795698925,0.5450121654501215,0.8051341890315052,0.4699872286079183,0.47619047619047616,0.2459016393442623,0.6019337016574586,0.2916666666666667,0.3,0.467,0.07142857142857142,0.125,0.3329999999999999,0.36,0.23076923076923078,1.0,0.16666666666666666,0.21739130434782608,0.22580645161290322,0.125,0.1,0.1,0.3333333333333333,0.3333333333333333,0.4888888888888889,0.3870967741935484
10987,21700729,Jimmy Butler,0.5473684210526316,0.43301435406698535,0.8418156808803301,0.22565320665083133,0.3076923076923077,0.6037735849056604,0.44086021505376344,0.5279805352798052,0.7666277712952159,0.3831417624521073,0.42857142857142855,0.3770491803278688,0.5837016574585635,0.16666666666666666,0.28,0.286,0.07142857142857142,0.125,0.3329999999999999,0.48,0.358974358974359,0.857,0.08333333333333333,0.21739130434782608,0.1935483870967742,0.20833333333333334,0.2,0.1,0.0,0.5,0.5888888888888889,0.3387096774193548
10988,21700665,Jimmy Butler,0.6,0.5263157894736841,0.8376891334250344,0.517814726840855,0.41025641025641024,0.5283018867924528,0.45161290322580644,0.5425790754257906,0.6114352392065344,0.425287356321839,0.47619047619047616,0.32786885245901637,0.7005524861878453,0.3333333333333333,0.3,0.5329999999999999,0.0,0.041666666666666664,0.0,0.28,0.20512820512820512,0.875,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.08333333333333333,0.2,0.1,0.08333333333333333,0.16666666666666666,0.36666666666666664,0.3709677419354839
10989,21700649,Jimmy Butler,0.5157894736842106,0.4473684210526315,0.8555708390646493,0.4216152019002375,0.41025641025641024,0.6415094339622641,0.4946236559139785,0.46958637469586373,0.8833138856476079,0.5593869731800766,0.35714285714285715,0.2786885245901639,0.6486187845303867,0.4583333333333333,0.44,0.5,0.14285714285714285,0.20833333333333334,0.4,0.16,0.10256410256410256,1.0,0.3333333333333333,0.13043478260869565,0.22580645161290322,0.16666666666666666,0.5,0.2,0.0,0.5,0.4222222222222222,0.45161290322580644
10990,21700637,Jimmy Butler,0.6421052631578947,0.672248803827751,0.7496561210453919,0.4370546318289786,0.3333333333333333,0.39622641509433965,0.5053763440860215,0.6034063260340632,0.7946324387397901,0.561941251596424,0.35714285714285715,0.29508196721311475,0.5657458563535911,0.2916666666666667,0.22,0.636,0.07142857142857142,0.041666666666666664,1.0,0.36,0.28205128205128205,0.818,0.08333333333333333,0.17391304347826086,0.16129032258064516,0.16666666666666666,0.2,0.0,0.0,0.3333333333333333,0.7333333333333333,0.3870967741935484
10991,21700623,Jimmy Butler,0.6210526315789474,0.6196172248803827,0.484181568088033,0.4394299287410926,0.6410256410256411,0.49056603773584906,0.5591397849462365,0.7201946472019465,0.6114352392065344,0.6385696040868455,0.5,0.26229508196721313,0.5616022099447513,0.25,0.24,0.5,0.07142857142857142,0.125,0.3329999999999999,0.0,0.02564102564102564,0.0,0.08333333333333333,0.13043478260869565,0.12903225806451613,0.08333333333333333,0.3,0.1,0.16666666666666666,0.16666666666666666,0.4777777777777778,0.20967741935483872
10992,21700611,Jimmy Butler,0.47368421052631576,0.5526315789473684,0.5928473177441541,0.41567695961995244,0.358974358974359,0.5283018867924528,0.34408602150537637,0.3746958637469587,0.7082847141190198,0.30651340996168586,0.21428571428571427,0.3442622950819672,0.5980662983425414,0.2916666666666667,0.26,0.5379999999999999,0.07142857142857142,0.08333333333333333,0.5,0.44,0.3076923076923077,0.917,0.08333333333333333,0.2608695652173913,0.22580645161290322,0.3333333333333333,0.4,0.2,0.3333333333333333,0.0,0.6222222222222222,0.41935483870967744
10993,21700594,Jimmy Butler,0.7157894736842105,0.6291866028708134,0.6767537826685007,0.38361045130641314,0.5641025641025641,0.7358490566037735,0.46236559139784944,0.4720194647201946,0.7082847141190198,0.4367816091954024,0.5238095238095238,0.2786885245901639,0.4530386740331491,0.2916666666666667,0.26,0.5379999999999999,0.2857142857142857,0.25,0.667,0.12,0.10256410256410256,0.75,0.16666666666666666,0.2608695652173913,0.25806451612903225,0.375,0.3,0.0,0.16666666666666666,0.16666666666666666,0.9111111111111111,0.3387096774193548
